Image,Caption,Rights
urn:cite:hcmid:bern219bifolioimgs.bern219_33v_34r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 33 verso and 34 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_34v_35r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 34 verso and 35 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_35v_36r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 35 verso and 36 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_36v_37r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 36 verso and 37 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_37v_38r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 37 verso and 38 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_38v_39r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 38 verso and 39 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_39v_40r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 39 verso and 40 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_40v_41r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 40 verso and 41 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_41v_42r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 41 verso and 42 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_42v_43r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 42 verso and 43 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_43v_44r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 43 verso and 44 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_44v_45r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 44 verso and 45 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_45v_46r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 45 verso and 46 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_46v_47r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 46 verso and 47 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_47v_48r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 47 verso and 48 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_48v_49r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 48 verso and 49 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_49v_50r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 49 verso and 50 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_50v_51r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 50 verso and 51 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_51v_52r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 51 verso and 52 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_52v_53r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 52 verso and 53 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_53v_54r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 53 verso and 54 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_54v_55r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 54 verso and 55 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_55v_56r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 55 verso and 56 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_56v_57r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 56 verso and 57 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_57v_58r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 57 verso and 58 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_58v_59r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 58 verso and 59 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_59v_60r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 59 verso and 60 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_60v_61r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 60 verso and 61 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_61v_62r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 61 verso and 62 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_62v_63r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 62 verso and 63 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_63v_64r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 63 verso and 64 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_64v_65r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 64 verso and 65 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_65v_66r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 65 verso and 66 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_66v_67r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 66 verso and 67 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_67v_68r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 67 verso and 68 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_68v_69r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 68 verso and 69 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_69v_70r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 69 verso and 70 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_70v_71r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 70 verso and 71 recto","This image is a composite created from images released to the public domain by the e-codices project."
